ID,DESCRIPTION,Attribut1,Rated Current (A),Rated Voltage (V),Rated Voltage (VDC),Rated Breaking Capacity (A),Mounting,Application
A1112,"AmpShield Electric Fuse, Fast Blow, 2A, 63VAC, 250VDC, 10000A (IR), Cartridge",Fast Blow,2A,63V,250V,10000A,Cartridge,Telecom
A1113,"Voltguard Electric Fuse, Time Lag Blow, 1A, 400VAC, 48VDC, 200A (IR), Cartridge",Time Lag Blow,1A,400V,48V,200A,Cartridge,Consumer Electronics
A1114,"Voltguard Electric Fuse, Time Lag Blow, 25A, 300VAC, 48VDC, 200A (IR), Through Hole",Time Lag Blow,25A,300V,48V,200A,Through Hole,Automotive
A1115,"AmpShield Electric Fuse, Fast Blow, 0.5A, 63VAC, 60VDC, 200A (IR), Blade",Fast Blow,0.5A,63V,60V,200A,Blade,Power Supply
A1116,"Indicators PN Electric Fuse, PTC, 25A, 32VAC, 48VDC, 50A (IR), Cartridge",PTC,25A,32V,48V,50A,Cartridge,Industrial
A1117,"Indicators PN Electric Fuse, Time Lag Blow, 3A, 400VAC, 150VDC, 50A (IR), Surface Mount",Time Lag Blow,3A,400V,150V,50A,Surface Mount,Telecom
A1118,"CircuitSafe Electric Fuse, Slow Blow, 1A, 125VAC, 150VDC, 100A (IR), Surface Mount",Slow Blow,1A,125V,150V,100A,Surface Mount,Telecom
A1119,"Indicators PN Electric Fuse, Resettable, 25A, 32VAC, 125VDC, 10000A (IR), Through Hole",Resettable,25A,32V,125V,10000A,Through Hole,Industrial
A1120,"CircuitSafe Electric Fuse, HRC, 30A, 300VAC, 24VDC, 1500A (IR), Panel Mount",HRC,30A,300V,24V,1500A,Panel Mount,Power Supply
A1121,"ProtecTech Electric Fuse, PTC, 1A, 63VAC, 150VDC, 35A (IR), Cartridge",PTC,1A,63V,150V,35A,Cartridge,Consumer Electronics
A1122,"Voltguard Electric Fuse, Resettable, 7A, 400VAC, 250VDC, 50A (IR), Blade",Resettable,7A,400V,250V,50A,Blade,Industrial
A1123,"ProtecTech Electric Fuse, Slow Blow, 1.5A, 63VAC, 60VDC, 200A (IR), Blade",Slow Blow,1.5A,63V,60V,200A,Blade,Consumer Electronics
A1124,"ProtecTech Electric Fuse, Slow Blow, 10A, 300VAC, 60VDC, 10000A (IR), Surface Mount",Slow Blow,10A,300V,60V,10000A,Surface Mount,Consumer Electronics
A1125,"AmpShield Electric Fuse, PTC, 10A, 400VAC, 48VDC, 100A (IR), Through Hole",PTC,10A,400V,48V,100A,Through Hole,Consumer Electronics
A1126,"Indicators PN Electric Fuse, Resettable, 5A, 125VAC, 24VDC, 10000A (IR), Panel Mount",Resettable,5A,125V,24V,10000A,Panel Mount,Automotive
A1127,"CircuitSafe Electric Fuse, Resettable, 25A, 63VAC, 60VDC, 1500A (IR), Blade",Resettable,25A,63V,60V,1500A,Blade,Consumer Electronics
A1128,"AmpShield Electric Fuse, Resettable, 1A, 300VAC, 48VDC, 200A (IR), Blade",Resettable,1A,300V,48V,200A,Blade,Automotive
A1129,"AmpShield Electric Fuse, Time Lag Blow, 3A, 32VAC, 48VDC, 100A (IR), Through Hole",Time Lag Blow,3A,32V,48V,100A,Through Hole,Industrial
A1130,"AmpShield Electric Fuse, Resettable, 5A, 400VAC, 125VDC, 35A (IR), Cartridge",Resettable,5A,400V,125V,35A,Cartridge,Automotive
A1131,"Voltguard Electric Fuse, PTC, 30A, 250VAC, 60VDC, 10000A (IR), Blade",PTC,30A,250V,60V,10000A,Blade,Automotive
A1132,"ProtecTech Electric Fuse, Resettable, 3A, 300VAC, 24VDC, 100A (IR), Blade",Resettable,3A,300V,24V,100A,Blade,Power Supply
A1133,"AmpShield Electric Fuse, Resettable, 5A, 250VAC, 250VDC, 35A (IR), Surface Mount",Resettable,5A,250V,250V,35A,Surface Mount,Industrial
A1134,"ProtecTech Electric Fuse, Resettable, 1.5A, 32VAC, 125VDC, 50A (IR), Cartridge",Resettable,1.5A,32V,125V,50A,Cartridge,Consumer Electronics
A1135,"AmpShield Electric Fuse, Slow Blow, 1A, 63VAC, 48VDC, 1500A (IR), Through Hole",Slow Blow,1A,63V,48V,1500A,Through Hole,Power Supply
A1136,"ProtecTech Electric Fuse, Time Lag Blow, 10A, 250VAC, 250VDC, 50A (IR), Cartridge",Time Lag Blow,10A,250V,250V,50A,Cartridge,Industrial
A1137,"AmpShield Electric Fuse, Time Lag Blow, 3A, 63VAC, 24VDC, 200A (IR), Cartridge",Time Lag Blow,3A,63V,24V,200A,Cartridge,Industrial
A1138,"Voltguard Electric Fuse, PTC, 20A, 63VAC, 24VDC, 35A (IR), Panel Mount",PTC,20A,63V,24V,35A,Panel Mount,Power Supply
A1139,"AmpShield Electric Fuse, Slow Blow, 10A, 63VAC, 60VDC, 10000A (IR), Through Hole",Slow Blow,10A,63V,60V,10000A,Through Hole,Automotive
A1140,"Voltguard Electric Fuse, HRC, 7A, 300VAC, 60VDC, 50A (IR), Surface Mount",HRC,7A,300V,60V,50A,Surface Mount,Consumer Electronics
A1141,"AmpShield Electric Fuse, HRC, 1A, 32VAC, 250VDC, 1500A (IR), Blade",HRC,1A,32V,250V,1500A,Blade,Telecom
A1142,"AmpShield Electric Fuse, Slow Blow, 2A, 400VAC, 48VDC, 50A (IR), Cartridge",Slow Blow,2A,400V,48V,50A,Cartridge,Consumer Electronics
A1143,"Voltguard Electric Fuse, PTC, 1.5A, 250VAC, 48VDC, 1500A (IR), Through Hole",PTC,1.5A,250V,48V,1500A,Through Hole,Consumer Electronics
A1144,"Voltguard Electric Fuse, PTC, 1.5A, 250VAC, 48VDC, 35A (IR), Cartridge",PTC,1.5A,250V,48V,35A,Cartridge,Consumer Electronics
A1145,"Indicators PN Electric Fuse, HRC, 10A, 63VAC, 60VDC, 1500A (IR), Blade",HRC,10A,63V,60V,1500A,Blade,Automotive
A1146,"AmpShield Electric Fuse, PTC, 1.5A, 125VAC, 250VDC, 200A (IR), Through Hole",PTC,1.5A,125V,250V,200A,Through Hole,Telecom
A1147,"Indicators PN Electric Fuse, Resettable, 20A, 125VAC, 24VDC, 35A (IR), Panel Mount",Resettable,20A,125V,24V,35A,Panel Mount,Automotive
A1148,"Indicators PN Electric Fuse, Time Lag Blow, 2A, 250VAC, 60VDC, 1500A (IR), Panel Mount",Time Lag Blow,2A,250V,60V,1500A,Panel Mount,Automotive
A1149,"Voltguard Electric Fuse, Time Lag Blow, 15A, 300VAC, 125VDC, 100A (IR), Blade",Time Lag Blow,15A,300V,125V,100A,Blade,Consumer Electronics
A1150,"AmpShield Electric Fuse, HRC, 0.5A, 300VAC, 48VDC, 100A (IR), Through Hole",HRC,0.5A,300V,48V,100A,Through Hole,Power Supply
A1151,"Voltguard Electric Fuse, Time Lag Blow, 10A, 63VAC, 24VDC, 100A (IR), Panel Mount",Time Lag Blow,10A,63V,24V,100A,Panel Mount,Telecom
A1152,"CircuitSafe Electric Fuse, Time Lag Blow, 1A, 125VAC, 24VDC, 50A (IR), Blade",Time Lag Blow,1A,125V,24V,50A,Blade,Consumer Electronics
A1153,"AmpShield Electric Fuse, PTC, 3A, 125VAC, 150VDC, 100A (IR), Panel Mount",PTC,3A,125V,150V,100A,Panel Mount,Consumer Electronics
A1154,"Indicators PN Electric Fuse, Fast Blow, 5A, 400VAC, 125VDC, 50A (IR), Panel Mount",Fast Blow,5A,400V,125V,50A,Panel Mount,Telecom
A1155,"CircuitSafe Electric Fuse, Fast Blow, 1.5A, 32VAC, 48VDC, 50A (IR), Surface Mount",Fast Blow,1.5A,32V,48V,50A,Surface Mount,Telecom
A1156,"AmpShield Electric Fuse, Fast Blow, 30A, 250VAC, 125VDC, 35A (IR), Blade",Fast Blow,30A,250V,125V,35A,Blade,Automotive
A1157,"Voltguard Electric Fuse, Time Lag Blow, 30A, 300VAC, 125VDC, 200A (IR), Blade",Time Lag Blow,30A,300V,125V,200A,Blade,Automotive
A1158,"ProtecTech Electric Fuse, Slow Blow, 5A, 32VAC, 48VDC, 100A (IR), Through Hole",Slow Blow,5A,32V,48V,100A,Through Hole,Industrial
A1159,"ProtecTech Electric Fuse, Time Lag Blow, 20A, 400VAC, 150VDC, 50A (IR), Panel Mount",Time Lag Blow,20A,400V,150V,50A,Panel Mount,Automotive
A1160,"CircuitSafe Electric Fuse, HRC, 1.5A, 250VAC, 24VDC, 50A (IR), Blade",HRC,1.5A,250V,24V,50A,Blade,Automotive
A1161,"ProtecTech Electric Fuse, Slow Blow, 3A, 400VAC, 250VDC, 35A (IR), Blade",Slow Blow,3A,400V,250V,35A,Blade,Consumer Electronics
A1162,"AmpShield Electric Fuse, Slow Blow, 5A, 63VAC, 24VDC, 35A (IR), Blade",Slow Blow,5A,63V,24V,35A,Blade,Telecom
A1163,"ProtecTech Electric Fuse, Resettable, 3A, 300VAC, 250VDC, 35A (IR), Cartridge",Resettable,3A,300V,250V,35A,Cartridge,Automotive
A1164,"Indicators PN Electric Fuse, PTC, 5A, 400VAC, 250VDC, 1500A (IR), Through Hole",PTC,5A,400V,250V,1500A,Through Hole,Industrial
A1165,"ProtecTech Electric Fuse, Resettable, 3A, 125VAC, 24VDC, 10000A (IR), Surface Mount",Resettable,3A,125V,24V,10000A,Surface Mount,Power Supply
A1166,"Indicators PN Electric Fuse, PTC, 1A, 250VAC, 60VDC, 50A (IR), Through Hole",PTC,1A,250V,60V,50A,Through Hole,Telecom
A1167,"Indicators PN Electric Fuse, Slow Blow, 2A, 63VAC, 125VDC, 200A (IR), Cartridge",Slow Blow,2A,63V,125V,200A,Cartridge,Industrial
A1168,"CircuitSafe Electric Fuse, Time Lag Blow, 10A, 250VAC, 250VDC, 100A (IR), Panel Mount",Time Lag Blow,10A,250V,250V,100A,Panel Mount,Industrial
A1169,"AmpShield Electric Fuse, Resettable, 1A, 125VAC, 150VDC, 50A (IR), Blade",Resettable,1A,125V,150V,50A,Blade,Telecom
A1170,"CircuitSafe Electric Fuse, PTC, 3A, 300VAC, 150VDC, 200A (IR), Surface Mount",PTC,3A,300V,150V,200A,Surface Mount,Telecom
A1171,"ProtecTech Electric Fuse, HRC, 1.5A, 250VAC, 250VDC, 200A (IR), Surface Mount",HRC,1.5A,250V,250V,200A,Surface Mount,Automotive
A1172,"ProtecTech Electric Fuse, Time Lag Blow, 10A, 400VAC, 48VDC, 10000A (IR), Through Hole",Time Lag Blow,10A,400V,48V,10000A,Through Hole,Telecom
A1173,"Indicators PN Electric Fuse, Resettable, 25A, 300VAC, 24VDC, 100A (IR), Blade",Resettable,25A,300V,24V,100A,Blade,Telecom
A1174,"ProtecTech Electric Fuse, PTC, 3A, 63VAC, 48VDC, 10000A (IR), Cartridge",PTC,3A,63V,48V,10000A,Cartridge,Industrial
A1175,"ProtecTech Electric Fuse, PTC, 3A, 300VAC, 24VDC, 1500A (IR), Surface Mount",PTC,3A,300V,24V,1500A,Surface Mount,Automotive
A1176,"CircuitSafe Electric Fuse, Slow Blow, 15A, 250VAC, 125VDC, 35A (IR), Blade",Slow Blow,15A,250V,125V,35A,Blade,Power Supply
A1177,"AmpShield Electric Fuse, Time Lag Blow, 3A, 300VAC, 24VDC, 1500A (IR), Surface Mount",Time Lag Blow,3A,300V,24V,1500A,Surface Mount,Automotive
A1178,"CircuitSafe Electric Fuse, Fast Blow, 1.5A, 250VAC, 24VDC, 35A (IR), Blade",Fast Blow,1.5A,250V,24V,35A,Blade,Consumer Electronics
A1179,"CircuitSafe Electric Fuse, HRC, 30A, 250VAC, 250VDC, 200A (IR), Panel Mount",HRC,30A,250V,250V,200A,Panel Mount,Consumer Electronics
A1180,"Indicators PN Electric Fuse, Fast Blow, 2A, 63VAC, 24VDC, 10000A (IR), Panel Mount",Fast Blow,2A,63V,24V,10000A,Panel Mount,Consumer Electronics
A1181,"Voltguard Electric Fuse, PTC, 15A, 32VAC, 24VDC, 200A (IR), Surface Mount",PTC,15A,32V,24V,200A,Surface Mount,Automotive
A1182,"CircuitSafe Electric Fuse, Resettable, 10A, 250VAC, 250VDC, 200A (IR), Panel Mount",Resettable,10A,250V,250V,200A,Panel Mount,Telecom
A1183,"Indicators PN Electric Fuse, HRC, 20A, 125VAC, 250VDC, 10000A (IR), Blade",HRC,20A,125V,250V,10000A,Blade,Consumer Electronics
A1184,"Indicators PN Electric Fuse, Fast Blow, 1.5A, 32VAC, 48VDC, 35A (IR), Surface Mount",Fast Blow,1.5A,32V,48V,35A,Surface Mount,Industrial
A1185,"ProtecTech Electric Fuse, Fast Blow, 10A, 400VAC, 48VDC, 10000A (IR), Through Hole",Fast Blow,10A,400V,48V,10000A,Through Hole,Telecom
A1186,"Indicators PN Electric Fuse, Fast Blow, 1A, 125VAC, 125VDC, 50A (IR), Blade",Fast Blow,1A,125V,125V,50A,Blade,Telecom
A1187,"AmpShield Electric Fuse, Slow Blow, 1.5A, 63VAC, 250VDC, 10000A (IR), Blade",Slow Blow,1.5A,63V,250V,10000A,Blade,Telecom
A1188,"AmpShield Electric Fuse, Slow Blow, 10A, 300VAC, 48VDC, 50A (IR), Cartridge",Slow Blow,10A,300V,48V,50A,Cartridge,Power Supply
A1189,"AmpShield Electric Fuse, Slow Blow, 5A, 32VAC, 24VDC, 10000A (IR), Blade",Slow Blow,5A,32V,24V,10000A,Blade,Telecom
A1190,"AmpShield Electric Fuse, Resettable, 20A, 300VAC, 250VDC, 1500A (IR), Cartridge",Resettable,20A,300V,250V,1500A,Cartridge,Automotive
A1191,"Voltguard Electric Fuse, PTC, 10A, 300VAC, 150VDC, 10000A (IR), Panel Mount",PTC,10A,300V,150V,10000A,Panel Mount,Telecom
A1192,"ProtecTech Electric Fuse, Resettable, 0.5A, 300VAC, 24VDC, 200A (IR), Panel Mount",Resettable,0.5A,300V,24V,200A,Panel Mount,Consumer Electronics
A1193,"ProtecTech Electric Fuse, Slow Blow, 3A, 400VAC, 125VDC, 200A (IR), Surface Mount",Slow Blow,3A,400V,125V,200A,Surface Mount,Telecom
A1194,"CircuitSafe Electric Fuse, Resettable, 5A, 250VAC, 250VDC, 200A (IR), Surface Mount",Resettable,5A,250V,250V,200A,Surface Mount,Industrial
A1195,"Voltguard Electric Fuse, Resettable, 2A, 250VAC, 60VDC, 200A (IR), Through Hole",Resettable,2A,250V,60V,200A,Through Hole,Power Supply
A1196,"CircuitSafe Electric Fuse, HRC, 25A, 125VAC, 150VDC, 10000A (IR), Blade",HRC,25A,125V,150V,10000A,Blade,Industrial
A1197,"Voltguard Electric Fuse, Resettable, 30A, 250VAC, 125VDC, 10000A (IR), Cartridge",Resettable,30A,250V,125V,10000A,Cartridge,Telecom
A1198,"Voltguard Electric Fuse, HRC, 2A, 125VAC, 250VDC, 10000A (IR), Surface Mount",HRC,2A,125V,250V,10000A,Surface Mount,Telecom
A1199,"AmpShield Electric Fuse, Fast Blow, 2A, 63VAC, 150VDC, 200A (IR), Surface Mount",Fast Blow,2A,63V,150V,200A,Surface Mount,Telecom
A1200,"CircuitSafe Electric Fuse, Time Lag Blow, 2A, 63VAC, 150VDC, 35A (IR), Surface Mount",Time Lag Blow,2A,63V,150V,35A,Surface Mount,Consumer Electronics
A1201,"CircuitSafe Electric Fuse, Time Lag Blow, 25A, 63VAC, 48VDC, 1500A (IR), Surface Mount",Time Lag Blow,25A,63V,48V,1500A,Surface Mount,Automotive
A1202,"AmpShield Electric Fuse, PTC, 1A, 300VAC, 48VDC, 35A (IR), Panel Mount",PTC,1A,300V,48V,35A,Panel Mount,Industrial
A1203,"ProtecTech Electric Fuse, Time Lag Blow, 5A, 125VAC, 24VDC, 1500A (IR), Cartridge",Time Lag Blow,5A,125V,24V,1500A,Cartridge,Industrial
A1204,"Indicators PN Electric Fuse, HRC, 25A, 32VAC, 250VDC, 35A (IR), Blade",HRC,25A,32V,250V,35A,Blade,Telecom
A1205,"Indicators PN Electric Fuse, Slow Blow, 20A, 300VAC, 24VDC, 1500A (IR), Surface Mount",Slow Blow,20A,300V,24V,1500A,Surface Mount,Power Supply
A1206,"AmpShield Electric Fuse, Fast Blow, 25A, 32VAC, 48VDC, 100A (IR), Through Hole",Fast Blow,25A,32V,48V,100A,Through Hole,Consumer Electronics
A1207,"Voltguard Electric Fuse, HRC, 10A, 400VAC, 24VDC, 50A (IR), Cartridge",HRC,10A,400V,24V,50A,Cartridge,Consumer Electronics
A1208,"CircuitSafe Electric Fuse, Slow Blow, 2A, 250VAC, 125VDC, 35A (IR), Through Hole",Slow Blow,2A,250V,125V,35A,Through Hole,Telecom
A1209,"CircuitSafe Electric Fuse, Time Lag Blow, 15A, 63VAC, 24VDC, 100A (IR), Cartridge",Time Lag Blow,15A,63V,24V,100A,Cartridge,Telecom
A1210,"Voltguard Electric Fuse, Resettable, 25A, 63VAC, 48VDC, 1500A (IR), Blade",Resettable,25A,63V,48V,1500A,Blade,Industrial
A1211,"AmpShield Electric Fuse, PTC, 7A, 250VAC, 125VDC, 1500A (IR), Cartridge",PTC,7A,250V,125V,1500A,Cartridge,Automotive
A1212,"CircuitSafe Electric Fuse, Fast Blow, 0.5A, 400VAC, 150VDC, 35A (IR), Surface Mount",Fast Blow,0.5A,400V,150V,35A,Surface Mount,Consumer Electronics
A1213,"ProtecTech Electric Fuse, PTC, 1.5A, 250VAC, 24VDC, 200A (IR), Surface Mount",PTC,1.5A,250V,24V,200A,Surface Mount,Industrial
A1214,"AmpShield Electric Fuse, Slow Blow, 25A, 400VAC, 250VDC, 1500A (IR), Cartridge",Slow Blow,25A,400V,250V,1500A,Cartridge,Telecom
A1215,"Indicators PN Electric Fuse, Resettable, 30A, 300VAC, 60VDC, 10000A (IR), Cartridge",Resettable,30A,300V,60V,10000A,Cartridge,Consumer Electronics
A1216,"Voltguard Electric Fuse, Time Lag Blow, 15A, 300VAC, 48VDC, 10000A (IR), Blade",Time Lag Blow,15A,300V,48V,10000A,Blade,Telecom
A1217,"Voltguard Electric Fuse, HRC, 20A, 300VAC, 250VDC, 200A (IR), Cartridge",HRC,20A,300V,250V,200A,Cartridge,Telecom
A1218,"ProtecTech Electric Fuse, Time Lag Blow, 1A, 32VAC, 150VDC, 100A (IR), Blade",Time Lag Blow,1A,32V,150V,100A,Blade,Industrial
A1219,"ProtecTech Electric Fuse, HRC, 3A, 63VAC, 24VDC, 1500A (IR), Panel Mount",HRC,3A,63V,24V,1500A,Panel Mount,Consumer Electronics
A1220,"CircuitSafe Electric Fuse, Time Lag Blow, 25A, 63VAC, 24VDC, 35A (IR), Panel Mount",Time Lag Blow,25A,63V,24V,35A,Panel Mount,Power Supply
A1221,"CircuitSafe Electric Fuse, Fast Blow, 3A, 400VAC, 125VDC, 1500A (IR), Surface Mount",Fast Blow,3A,400V,125V,1500A,Surface Mount,Automotive
A1222,"AmpShield Electric Fuse, Time Lag Blow, 25A, 300VAC, 60VDC, 35A (IR), Surface Mount",Time Lag Blow,25A,300V,60V,35A,Surface Mount,Automotive
A1223,"ProtecTech Electric Fuse, Time Lag Blow, 20A, 400VAC, 24VDC, 200A (IR), Cartridge",Time Lag Blow,20A,400V,24V,200A,Cartridge,Industrial
A1224,"CircuitSafe Electric Fuse, HRC, 30A, 400VAC, 250VDC, 1500A (IR), Panel Mount",HRC,30A,400V,250V,1500A,Panel Mount,Industrial
A1225,"ProtecTech Electric Fuse, Time Lag Blow, 3A, 400VAC, 250VDC, 1500A (IR), Through Hole",Time Lag Blow,3A,400V,250V,1500A,Through Hole,Telecom
A1226,"CircuitSafe Electric Fuse, Resettable, 2A, 32VAC, 60VDC, 1500A (IR), Panel Mount",Resettable,2A,32V,60V,1500A,Panel Mount,Industrial
A1227,"Indicators PN Electric Fuse, PTC, 1A, 63VAC, 250VDC, 200A (IR), Blade",PTC,1A,63V,250V,200A,Blade,Automotive
A1228,"CircuitSafe Electric Fuse, Slow Blow, 7A, 63VAC, 125VDC, 50A (IR), Blade",Slow Blow,7A,63V,125V,50A,Blade,Automotive
A1229,"CircuitSafe Electric Fuse, Resettable, 15A, 250VAC, 150VDC, 1500A (IR), Panel Mount",Resettable,15A,250V,150V,1500A,Panel Mount,Telecom
A1230,"Voltguard Electric Fuse, HRC, 10A, 400VAC, 125VDC, 200A (IR), Blade",HRC,10A,400V,125V,200A,Blade,Telecom
A1231,"ProtecTech Electric Fuse, Fast Blow, 15A, 63VAC, 125VDC, 10000A (IR), Blade",Fast Blow,15A,63V,125V,10000A,Blade,Industrial
A1232,"Voltguard Electric Fuse, HRC, 1A, 400VAC, 48VDC, 200A (IR), Blade",HRC,1A,400V,48V,200A,Blade,Automotive
A1233,"CircuitSafe Electric Fuse, HRC, 5A, 32VAC, 150VDC, 200A (IR), Surface Mount",HRC,5A,32V,150V,200A,Surface Mount,Automotive
A1234,"CircuitSafe Electric Fuse, HRC, 3A, 32VAC, 150VDC, 50A (IR), Surface Mount",HRC,3A,32V,150V,50A,Surface Mount,Consumer Electronics
A1235,"ProtecTech Electric Fuse, Time Lag Blow, 3A, 125VAC, 125VDC, 35A (IR), Through Hole",Time Lag Blow,3A,125V,125V,35A,Through Hole,Industrial
A1236,"Indicators PN Electric Fuse, PTC, 0.5A, 125VAC, 60VDC, 50A (IR), Through Hole",PTC,0.5A,125V,60V,50A,Through Hole,Telecom
A1237,"ProtecTech Electric Fuse, Slow Blow, 15A, 125VAC, 24VDC, 35A (IR), Blade",Slow Blow,15A,125V,24V,35A,Blade,Telecom
A1238,"Voltguard Electric Fuse, Time Lag Blow, 20A, 250VAC, 60VDC, 200A (IR), Blade",Time Lag Blow,20A,250V,60V,200A,Blade,Power Supply
A1239,"CircuitSafe Electric Fuse, Fast Blow, 15A, 400VAC, 125VDC, 200A (IR), Blade",Fast Blow,15A,400V,125V,200A,Blade,Industrial
A1240,"AmpShield Electric Fuse, Slow Blow, 20A, 400VAC, 150VDC, 200A (IR), Blade",Slow Blow,20A,400V,150V,200A,Blade,Industrial
A1241,"Voltguard Electric Fuse, Time Lag Blow, 15A, 32VAC, 250VDC, 200A (IR), Cartridge",Time Lag Blow,15A,32V,250V,200A,Cartridge,Automotive
A1242,"Indicators PN Electric Fuse, Resettable, 0.5A, 300VAC, 250VDC, 10000A (IR), Cartridge",Resettable,0.5A,300V,250V,10000A,Cartridge,Power Supply
A1243,"Indicators PN Electric Fuse, Resettable, 15A, 32VAC, 48VDC, 1500A (IR), Panel Mount",Resettable,15A,32V,48V,1500A,Panel Mount,Power Supply
A1244,"ProtecTech Electric Fuse, HRC, 15A, 63VAC, 125VDC, 1500A (IR), Surface Mount",HRC,15A,63V,125V,1500A,Surface Mount,Automotive
A1245,"Indicators PN Electric Fuse, Fast Blow, 0.5A, 125VAC, 48VDC, 50A (IR), Panel Mount",Fast Blow,0.5A,125V,48V,50A,Panel Mount,Telecom
A1246,"Indicators PN Electric Fuse, HRC, 20A, 125VAC, 125VDC, 1500A (IR), Surface Mount",HRC,20A,125V,125V,1500A,Surface Mount,Telecom
A1247,"AmpShield Electric Fuse, Time Lag Blow, 7A, 63VAC, 125VDC, 35A (IR), Panel Mount",Time Lag Blow,7A,63V,125V,35A,Panel Mount,Consumer Electronics
A1248,"Voltguard Electric Fuse, Time Lag Blow, 1A, 32VAC, 24VDC, 1500A (IR), Through Hole",Time Lag Blow,1A,32V,24V,1500A,Through Hole,Consumer Electronics
A1249,"Indicators PN Electric Fuse, Fast Blow, 3A, 32VAC, 48VDC, 100A (IR), Blade",Fast Blow,3A,32V,48V,100A,Blade,Industrial
A1250,"AmpShield Electric Fuse, HRC, 5A, 63VAC, 24VDC, 10000A (IR), Surface Mount",HRC,5A,63V,24V,10000A,Surface Mount,Consumer Electronics
A1251,"Indicators PN Electric Fuse, Slow Blow, 5A, 63VAC, 125VDC, 100A (IR), Cartridge",Slow Blow,5A,63V,125V,100A,Cartridge,Telecom
A1252,"ProtecTech Electric Fuse, Slow Blow, 2A, 63VAC, 150VDC, 1500A (IR), Through Hole",Slow Blow,2A,63V,150V,1500A,Through Hole,Telecom
A1253,"ProtecTech Electric Fuse, HRC, 7A, 32VAC, 60VDC, 35A (IR), Cartridge",HRC,7A,32V,60V,35A,Cartridge,Telecom
A1254,"CircuitSafe Electric Fuse, PTC, 1A, 250VAC, 24VDC, 200A (IR), Through Hole",PTC,1A,250V,24V,200A,Through Hole,Automotive
A1255,"CircuitSafe Electric Fuse, HRC, 20A, 400VAC, 24VDC, 50A (IR), Panel Mount",HRC,20A,400V,24V,50A,Panel Mount,Industrial
A1256,"Voltguard Electric Fuse, HRC, 7A, 250VAC, 24VDC, 10000A (IR), Panel Mount",HRC,7A,250V,24V,10000A,Panel Mount,Industrial
A1257,"AmpShield Electric Fuse, Time Lag Blow, 15A, 63VAC, 48VDC, 1500A (IR), Blade",Time Lag Blow,15A,63V,48V,1500A,Blade,Power Supply
A1258,"Indicators PN Electric Fuse, Slow Blow, 0.5A, 250VAC, 150VDC, 100A (IR), Through Hole",Slow Blow,0.5A,250V,150V,100A,Through Hole,Automotive
A1259,"Voltguard Electric Fuse, PTC, 3A, 300VAC, 60VDC, 10000A (IR), Blade",PTC,3A,300V,60V,10000A,Blade,Consumer Electronics
A1260,"Indicators PN Electric Fuse, HRC, 15A, 125VAC, 24VDC, 50A (IR), Panel Mount",HRC,15A,125V,24V,50A,Panel Mount,Power Supply
A1261,"CircuitSafe Electric Fuse, Time Lag Blow, 1A, 250VAC, 250VDC, 35A (IR), Through Hole",Time Lag Blow,1A,250V,250V,35A,Through Hole,Power Supply
A1262,"AmpShield Electric Fuse, PTC, 2A, 300VAC, 150VDC, 100A (IR), Cartridge",PTC,2A,300V,150V,100A,Cartridge,Consumer Electronics
A1263,"ProtecTech Electric Fuse, Time Lag Blow, 2A, 400VAC, 60VDC, 100A (IR), Through Hole",Time Lag Blow,2A,400V,60V,100A,Through Hole,Telecom
A1264,"AmpShield Electric Fuse, Time Lag Blow, 0.5A, 400VAC, 48VDC, 10000A (IR), Surface Mount",Time Lag Blow,0.5A,400V,48V,10000A,Surface Mount,Power Supply
A1265,"AmpShield Electric Fuse, Slow Blow, 0.5A, 400VAC, 48VDC, 200A (IR), Panel Mount",Slow Blow,0.5A,400V,48V,200A,Panel Mount,Telecom
A1266,"AmpShield Electric Fuse, HRC, 1A, 400VAC, 250VDC, 35A (IR), Panel Mount",HRC,1A,400V,250V,35A,Panel Mount,Automotive
A1267,"Voltguard Electric Fuse, Resettable, 1A, 125VAC, 125VDC, 1500A (IR), Cartridge",Resettable,1A,125V,125V,1500A,Cartridge,Telecom
A1268,"Indicators PN Electric Fuse, Resettable, 0.5A, 32VAC, 125VDC, 100A (IR), Through Hole",Resettable,0.5A,32V,125V,100A,Through Hole,Telecom
A1269,"Indicators PN Electric Fuse, Fast Blow, 30A, 32VAC, 60VDC, 10000A (IR), Cartridge",Fast Blow,30A,32V,60V,10000A,Cartridge,Industrial
A1270,"CircuitSafe Electric Fuse, HRC, 25A, 125VAC, 250VDC, 50A (IR), Through Hole",HRC,25A,125V,250V,50A,Through Hole,Telecom
A1271,"Indicators PN Electric Fuse, Slow Blow, 3A, 250VAC, 250VDC, 10000A (IR), Panel Mount",Slow Blow,3A,250V,250V,10000A,Panel Mount,Industrial
A1272,"AmpShield Electric Fuse, Fast Blow, 25A, 250VAC, 24VDC, 100A (IR), Panel Mount",Fast Blow,25A,250V,24V,100A,Panel Mount,Power Supply
A1273,"ProtecTech Electric Fuse, Fast Blow, 15A, 63VAC, 250VDC, 10000A (IR), Panel Mount",Fast Blow,15A,63V,250V,10000A,Panel Mount,Power Supply
A1274,"CircuitSafe Electric Fuse, Fast Blow, 1A, 300VAC, 48VDC, 10000A (IR), Surface Mount",Fast Blow,1A,300V,48V,10000A,Surface Mount,Industrial
A1275,"ProtecTech Electric Fuse, HRC, 2A, 300VAC, 250VDC, 100A (IR), Through Hole",HRC,2A,300V,250V,100A,Through Hole,Automotive
